objective,run,iteration,intersect_revenue,surrogate_mean,surrogate_std,error,percent_error,abs_error
ensemble_mean,17,100,435580128.0,432130816.0,30589712.0,-3449312.0,-0.7918892020712203,3449312.0
ensemble_mean,18,0,371131296.0,419867168.0,27117030.0,48735872.0,13.131706359789177,48735872.0
ensemble_mean,18,50,497722016.0,433073728.0,28689348.0,-64648288.0,-12.988834313489562,64648288.0
ensemble_mean,18,100,443804768.0,434781344.0,27720736.0,-9023424.0,-2.03319672311407,9023424.0
ensemble_mean,19,0,396708192.0,413707840.0,40176736.0,16999648.0,4.285176949408697,16999648.0
ensemble_mean,19,50,422525024.0,427316608.0,33921728.0,4791584.0,1.1340355547793544,4791584.0
ensemble_mean,19,100,454338240.0,431590304.0,34325864.0,-22747936.0,-5.006828392873116,22747936.0
ensemble_mean,20,0,495934752.0,421875872.0,34565352.0,-74058880.0,-14.93319024354236,74058880.0
ensemble_mean,20,50,334584224.0,436446304.0,29124458.0,101862080.0,30.444376241720235,101862080.0
ensemble_mean,20,100,358523776.0,436915712.0,28635348.0,78391936.0,21.865198697449845,78391936.0
ensemble_mean,21,0,447591104.0,408986496.0,32935218.0,-38604608.0,-8.624972135281759,38604608.0
ensemble_mean,21,50,378416416.0,421839936.0,30105490.0,43423520.0,11.475062434923542,43423520.0
ensemble_mean,21,100,360256832.0,423397408.0,29638088.0,63140576.0,17.526545062162764,63140576.0
ensemble_mean,22,0,427520832.0,424739392.0,35345896.0,-2781440.0,-0.6505975362622797,2781440.0
ensemble_mean,22,50,421590400.0,438132832.0,33998204.0,16542432.0,3.92381610207443,16542432.0
ensemble_mean,22,100,482450752.0,438917568.0,33431686.0,-43533184.0,-9.023342552485026,43533184.0
ensemble_mean,23,0,471407712.0,421919008.0,36998576.0,-49488704.0,-10.498068389683027,49488704.0
ensemble_mean,23,50,390990208.0,431140000.0,32483694.0,40149792.0,10.268746167678962,40149792.0
ensemble_mean,23,100,446350784.0,433174592.0,30954460.0,-13176192.0,-2.951981372569965,13176192.0
ensemble_mean,24,0,510838880.0,413873344.0,38580884.0,-96965536.0,-18.981628023301596,96965536.0
ensemble_mean,24,50,386838656.0,428233408.0,35438600.0,41394752.0,10.700779603577157,41394752.0
ensemble_mean,24,100,331529152.0,429261952.0,34297896.0,97732800.0,29.47939854170049,97732800.0
ensemble_mean,25,0,453435104.0,422858304.0,36797732.0,-30576800.0,-6.743368506378368,30576800.0
ensemble_mean,25,50,405264256.0,435600224.0,33312936.0,30335968.0,7.485478314672784,30335968.0
ensemble_mean,25,100,441564768.0,437861184.0,32251756.0,-3703584.0,-0.8387408299749133,3703584.0
ensemble_mean,26,0,458870464.0,422585248.0,37597020.0,-36285216.0,-7.907507422399712,36285216.0
ensemble_mean,26,50,448942112.0,432949056.0,31037244.0,-15993056.0,-3.5623871257593227,15993056.0
ensemble_mean,26,100,481864864.0,434296224.0,30352226.0,-47568640.0,-9.871780151208535,47568640.0
ensemble_mean,27,0,455935328.0,422748352.0,36865488.0,-33186976.0,-7.278877937706113,33186976.0
ensemble_mean,27,50,388884288.0,430695840.0,36693220.0,41811552.0,10.751669144318837,41811552.0
ensemble_mean,27,100,372983520.0,432672864.0,35388740.0,59689344.0,16.00321215264417,59689344.0
ensemble_mean,28,0,420467616.0,420948128.0,35138080.0,480512.0,0.11428038253485852,480512.0
ensemble_mean,28,50,383504128.0,434066880.0,31712388.0,50562752.0,13.184408799896932,50562752.0
ensemble_mean,28,100,493417216.0,436198336.0,29637008.0,-57218880.0,-11.596449849046207,57218880.0
ensemble_mean,29,0,494219936.0,423395520.0,40489312.0,-70824416.0,-14.330546147778222,70824416.0
ensemble_mean,29,50,409692064.0,434316960.0,34281460.0,24624896.0,6.010586526762696,24624896.0
ensemble_mean,29,100,399944192.0,438765568.0,31992664.0,38821376.0,9.706698278543822,38821376.0
ensemble_mean,30,0,481078048.0,420246208.0,33083684.0,-60831840.0,-12.644900396702367,60831840.0
ensemble_mean,30,50,354678400.0,434904768.0,25732232.0,80226368.0,22.61946822811877,80226368.0
ensemble_mean,30,100,355821120.0,437954976.0,25659548.0,82133856.0,23.08290637722685,82133856.0
ensemble_mean,31,0,393725568.0,410032064.0,40768836.0,16306496.0,4.141589301104266,16306496.0
ensemble_mean,31,50,431285216.0,423790272.0,37769388.0,-7494944.0,-1.7378161184175627,7494944.0
ensemble_mean,31,100,385149888.0,428306784.0,34997112.0,43156896.0,11.205220965817858,43156896.0
ensemble_mean,32,0,409546112.0,418476352.0,34494336.0,8930240.0,2.1805212498269304,8930240.0
ensemble_mean,32,50,449757664.0,433311808.0,27183050.0,-16445856.0,-3.656603837216657,16445856.0
ensemble_mean,32,100,436423968.0,434956480.0,27555552.0,-1467488.0,-0.33625284301525804,1467488.0
ensemble_mean,33,0,493772352.0,431497632.0,31944508.0,-62274720.0,-12.612030573959718,62274720.0
ensemble_mean,33,50,465280608.0,443233376.0,28734832.0,-22047232.0,-4.7384807406372715,22047232.0
ensemble_mean,33,100,432861184.0,443852864.0,27868542.0,10991680.0,2.539308306286017,10991680.0
ensemble_mean,34,0,503660064.0,427270080.0,31780132.0,-76389984.0,-15.166972619056015,76389984.0
ensemble_mean,34,50,478701280.0,437114624.0,30718384.0,-41586656.0,-8.687391853224206,41586656.0
ensemble_mean,34,100,419462496.0,438060608.0,30231038.0,18598112.0,4.433796150395291,18598112.0
ensemble_mean,35,0,394310368.0,414153152.0,36808956.0,19842784.0,5.03227548913956,19842784.0
ensemble_mean,35,50,352064768.0,427031008.0,32900398.0,74966240.0,21.293309303815374,74966240.0
ensemble_mean,35,100,281698848.0,430200928.0,31925604.0,148502080.0,52.716608908531995,148502080.0
ensemble_mean,36,0,465204960.0,428084480.0,40526436.0,-37120480.0,-7.979381819144835,37120480.0
ensemble_mean,36,50,415593856.0,438739616.0,31617302.0,23145760.0,5.569321987281737,23145760.0
ensemble_mean,36,100,389263776.0,439583552.0,30632202.0,50319776.0,12.926909489774872,50319776.0
ensemble_mean,37,0,429259168.0,416983392.0,39337772.0,-12275776.0,-2.859758606250665,12275776.0
ensemble_mean,37,50,446817728.0,430373696.0,32392406.0,-16444032.0,-3.6802550502203886,16444032.0
ensemble_mean,37,100,457837824.0,431236800.0,32456310.0,-26601024.0,-5.810141190955862,26601024.0
ensemble_mean,38,0,363363200.0,421728352.0,30813302.0,58365152.0,16.062482937182413,58365152.0
ensemble_mean,38,50,357243936.0,434867200.0,26743954.0,77623264.0,21.728364340941535,77623264.0
ensemble_mean,38,100,384816416.0,436756544.0,24751806.0,51940128.0,13.49737844863666,51940128.0
ensemble_mean,39,0,437294784.0,411982528.0,37408352.0,-25312256.0,-5.788373638593412,25312256.0
ensemble_mean,39,50,428141088.0,433165376.0,31671288.0,5024288.0,1.173512223148272,5024288.0
