run_id,well_id,well_type,depth_z,final_x,final_y,mean_total_energy
0,0,injector,47.380306,10.544116,67.00849,1.8694593e+14
0,1,producer,47.26604,57.251236,38.350227,1.8694593e+14
0,2,injector,49.710445,12.325658,10.351185,1.8694593e+14
0,3,producer,46.77714,12.461356,65.71254,1.8694593e+14
0,4,injector,37.566166,57.304295,63.352177,1.8694593e+14
0,5,producer,49.54577,27.333967,66.00993,1.8694593e+14
0,6,injector,49.86951,51.687508,15.039238,1.8694593e+14
0,7,producer,38.085976,13.3796215,3.1003296,1.8694593e+14
0,8,injector,51.51017,4.85943,54.52503,1.8694593e+14
0,9,producer,56.483204,44.076855,20.480257,1.8694593e+14
0,10,injector,44.143955,54.542053,25.88248,1.8694593e+14
0,11,producer,31.731615,10.635713,37.16067,1.8694593e+14
1,0,injector,52.916267,30.675772,70.11794,1.8296942e+14
1,1,producer,53.15453,5.288413,18.83024,1.8296942e+14
1,2,injector,51.40037,41.16803,9.560243,1.8296942e+14
1,3,producer,33.7536,54.734257,5.440798,1.8296942e+14
1,4,injector,43.662518,14.389185,62.38697,1.8296942e+14
1,5,producer,48.061157,54.83959,50.893456,1.8296942e+14
1,6,injector,49.775536,13.702582,11.532674,1.8296942e+14
1,7,producer,48.570915,41.022923,31.070038,1.8296942e+14
1,8,injector,36.74248,12.246658,38.912037,1.8296942e+14
1,9,producer,49.629295,13.050232,65.07093,1.8296942e+14
1,10,injector,49.871204,30.06014,65.50222,1.8296942e+14
1,11,producer,49.721783,12.910266,35.691402,1.8296942e+14
2,0,injector,58.634014,10.939996,36.139935,1.8606713e+14
2,1,producer,44.56904,51.43363,39.945213,1.8606713e+14
2,2,injector,57.55143,50.87325,54.098183,1.8606713e+14
2,3,producer,56.23849,17.059444,56.946194,1.8606713e+14
2,4,injector,49.97285,14.863761,13.915225,1.8606713e+14
2,5,producer,44.34782,56.333435,28.72082,1.8606713e+14
2,6,injector,47.926075,43.90487,15.960427,1.8606713e+14
2,7,producer,54.852573,52.188534,22.67012,1.8606713e+14
2,8,injector,53.306423,20.843548,36.371407,1.8606713e+14
2,9,producer,52.053314,12.569646,56.485516,1.8606713e+14
2,10,injector,53.673832,4.976184,67.55637,1.8606713e+14
2,11,producer,35.100365,58.385777,7.87118,1.8606713e+14
3,0,injector,50.24046,57.618443,24.770756,1.8443477e+14
3,1,producer,52.2069,3.0360074,59.700703,1.8443477e+14
3,2,injector,46.06898,44.128864,22.384123,1.8443477e+14
3,3,producer,53.417328,59.572823,63.66484,1.8443477e+14
3,4,injector,53.29714,48.422386,54.314804,1.8443477e+14
3,5,producer,54.754784,13.596086,22.258865,1.8443477e+14
3,6,injector,54.767323,57.14097,28.229975,1.8443477e+14
3,7,producer,52.84395,31.375082,56.228565,1.8443477e+14
3,8,injector,54.323635,47.016632,18.168486,1.8443477e+14
3,9,producer,53.24756,37.439987,13.12805,1.8443477e+14
3,10,injector,41.091873,46.555824,68.5242,1.8443477e+14
3,11,producer,56.485233,12.744259,57.027542,1.8443477e+14
4,0,injector,59.88799,37.713257,50.65052,1.8233916e+14
4,1,producer,55.261196,14.562459,55.558228,1.8233916e+14
4,2,injector,49.56176,53.135574,28.810732,1.8233916e+14
4,3,producer,51.560326,39.874725,10.851063,1.8233916e+14
4,4,injector,50.42625,45.19279,56.660408,1.8233916e+14
4,5,producer,42.205452,56.15136,57.008476,1.8233916e+14
4,6,injector,45.51764,12.83107,18.458754,1.8233916e+14
4,7,producer,53.06867,22.612673,26.925602,1.8233916e+14
4,8,injector,52.587387,22.852077,28.415691,1.8233916e+14
4,9,producer,49.769608,16.703411,49.14398,1.8233916e+14
4,10,injector,52.011242,53.472046,43.093723,1.8233916e+14
4,11,producer,53.78709,59.084126,8.653789,1.8233916e+14
5,0,injector,49.71348,57.673615,50.762756,1.8650293e+14
