epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.28584012389183044,0.5827965140342712
0,116,0.33919209241867065,0.6581569314002991,,
1,233,,,0.2325812578201294,0.511087954044342
1,233,0.24515807628631592,0.5218013525009155,,
2,350,,,0.19275207817554474,0.46354174613952637
2,350,0.1729193478822708,0.4095938205718994,,
3,467,,,0.15332123637199402,0.4098471701145172
3,467,0.11737444251775742,0.322091281414032,,
4,584,,,0.12088890373706818,0.363292396068573
4,584,0.08043626695871353,0.2588382065296173,,
5,701,,,0.10431185364723206,0.33971112966537476
5,701,0.05766469985246658,0.21509245038032532,,
6,818,,,0.10114211589097977,0.32789352536201477
6,818,0.04328661039471626,0.18062546849250793,,
7,935,,,0.09683576971292496,0.32992568612098694
7,935,0.03413805365562439,0.1593025028705597,,
8,1052,,,0.08776196837425232,0.3101904094219208
8,1052,0.027122333645820618,0.1443057656288147,,
9,1169,,,0.08704602718353271,0.30901840329170227
9,1169,0.020793162286281586,0.12328116595745087,,
10,1286,,,0.07573386281728745,0.2918188273906708
10,1286,0.015796732157468796,0.10806851834058762,,
11,1403,,,0.07701648771762848,0.2955513894557953
11,1403,0.011524711735546589,0.09119988977909088,,
12,1520,,,0.07521683722734451,0.2944783866405487
12,1520,0.009496411308646202,0.08081185072660446,,
13,1637,,,0.07254580408334732,0.2882138788700104
13,1637,0.008258809335529804,0.07548562437295914,,
14,1754,,,0.07655040174722672,0.2966216802597046
14,1754,0.007114991545677185,0.07051973044872284,,
15,1871,,,0.07357669621706009,0.2914683520793915
15,1871,0.006201818119734526,0.06503770500421524,,
16,1988,,,0.07597346603870392,0.29947367310523987
16,1988,0.005617227870970964,0.061899781227111816,,
17,2105,,,0.0790393054485321,0.30089643597602844
17,2105,0.006048667244613171,0.06674313545227051,,
18,2222,,,0.07020015269517899,0.2861754894256592
18,2222,0.006179825868457556,0.06765598058700562,,
19,2339,,,0.07169963419437408,0.2871498763561249
19,2339,0.0051603177562355995,0.05976935848593712,,
20,2456,,,0.0724843218922615,0.2893511950969696
