epoch,step,train_loss,train_mae_scaled,val_loss,val_mae_scaled
0,116,,,0.34320372343063354,0.6964356303215027
0,116,0.3697199821472168,0.7293820381164551,,
1,233,,,0.2628813683986664,0.5884871482849121
1,233,0.2669741213321686,0.5982236862182617,,
2,350,,,0.20213583111763,0.5059621334075928
2,350,0.18726113438606262,0.4854413568973541,,
3,467,,,0.17015038430690765,0.4592110216617584
3,467,0.13704408705234528,0.406728595495224,,
4,584,,,0.1631218045949936,0.4554096460342407
4,584,0.10189638286828995,0.3434906005859375,,
5,701,,,0.13977010548114777,0.4154778718948364
5,701,0.07884331792593002,0.3011690080165863,,
6,818,,,0.1128462627530098,0.3673779368400574
6,818,0.06011554226279259,0.26050493121147156,,
7,935,,,0.1086735874414444,0.36553674936294556
7,935,0.046416718512773514,0.22846220433712006,,
8,1052,,,0.12135698646306992,0.3763657510280609
8,1052,0.03650304675102234,0.19621224701404572,,
9,1169,,,0.1408075988292694,0.39990830421447754
9,1169,0.028301386162638664,0.17305760085582733,,
10,1286,,,0.10503140091896057,0.3485971689224243
10,1286,0.022992171347141266,0.1559717208147049,,
11,1403,,,0.09418271481990814,0.33574241399765015
11,1403,0.02039377950131893,0.14658908545970917,,
12,1520,,,0.12846639752388,0.36952412128448486
12,1520,0.016573242843151093,0.1314564049243927,,
13,1637,,,0.11951666325330734,0.35874199867248535
13,1637,0.013261852785944939,0.11504512280225754,,
14,1754,,,0.11459791660308838,0.3613872230052948
14,1754,0.011514212004840374,0.10597698390483856,,
15,1871,,,0.1341324895620346,0.3812839984893799
15,1871,0.009916196577250957,0.09615238010883331,,
16,1988,,,0.11407727748155594,0.3591228425502777
16,1988,0.010622363537549973,0.10097053647041321,,
17,2105,,,0.10413595288991928,0.34417209029197693
17,2105,0.008284269832074642,0.08717302232980728,,
18,2222,,,0.12446426600217819,0.38198232650756836
18,2222,0.007618174888193607,0.08429466933012009,,
19,2339,,,0.10176710784435272,0.35217732191085815
19,2339,0.0069008455611765385,0.07948388904333115,,
20,2456,,,0.1081165298819542,0.3471413552761078
20,2456,0.006908068433403969,0.08003105968236923,,
21,2573,,,0.09710083156824112,0.3345770835876465
21,2573,0.007037061266601086,0.08153869956731796,,
22,2690,,,0.1051926463842392,0.3581060469150543
22,2690,0.005919761955738068,0.07292971760034561,,
23,2807,,,0.09924004971981049,0.33713021874427795
23,2807,0.004866273608058691,0.06457776576280594,,
24,2924,,,0.11446778476238251,0.3542991876602173
24,2924,0.005775788798928261,0.07242902368307114,,
25,3041,,,0.130046546459198,0.3739318549633026
25,3041,0.006235267501324415,0.0766584500670433,,
26,3158,,,0.08881538361310959,0.3204098641872406
26,3158,0.0063568660989403725,0.07958703488111496,,
27,3275,,,0.11893127113580704,0.36607807874679565
27,3275,0.006303636822849512,0.07846415042877197,,
28,3392,,,0.11166471987962723,0.35740384459495544
28,3392,0.006046962924301624,0.0771808922290802,,
29,3509,,,0.09514528512954712,0.32957836985588074
29,3509,0.004920521751046181,0.06933089345693588,,
30,3626,,,0.09326674789190292,0.32644498348236084
30,3626,0.005235074087977409,0.07305660098791122,,
31,3743,,,0.12753161787986755,0.36926841735839844
31,3743,0.004836820065975189,0.06742201000452042,,
32,3860,,,0.09813046455383301,0.33397048711776733
32,3860,0.005508027039468288,0.07394438236951828,,
33,3977,,,0.10189676284790039,0.3492792844772339
33,3977,0.006080522667616606,0.08079102635383606,,
34,4094,,,0.12112575769424438,0.36432844400405884
34,4094,0.005891754757612944,0.07777000218629837,,
35,4211,,,0.14174708724021912,0.39339303970336914
35,4211,0.004308334086090326,0.06659605354070663,,
36,4328,,,0.113606758415699,0.35539886355400085
36,4328,0.003559642471373081,0.05922252684831619,,
37,4445,,,0.1106518879532814,0.34904491901397705
37,4445,0.0029596001841127872,0.05436795949935913,,
38,4562,,,0.109885573387146,0.34434762597084045
38,4562,0.0027315588667988777,0.05162947252392769,,
39,4679,,,0.10515560954809189,0.34271153807640076
39,4679,0.0027843774296343327,0.05082970857620239,,
40,4796,,,0.10323057323694229,0.3401568830013275
40,4796,0.003158334642648697,0.056043840944767,,
41,4913,,,0.09018193185329437,0.3238830864429474
41,4913,0.0036196820437908173,0.06080992892384529,,
42,5030,,,0.12343272566795349,0.3882442116737366
42,5030,0.004313521087169647,0.06812561303377151,,
43,5147,,,0.09292080998420715,0.32731613516807556
43,5147,0.004409685730934143,0.0700557753443718,,
44,5264,,,0.09328179061412811,0.330475777387619
44,5264,0.0033030614722520113,0.05942394211888313,,
45,5381,,,0.09844774007797241,0.33621013164520264
45,5381,0.003531508147716522,0.062436722218990326,,
46,5498,,,0.11622770875692368,0.35915303230285645
46,5498,0.003674994222819805,0.06243537366390228,,
47,5615,,,0.11946447938680649,0.3597787618637085
47,5615,0.004043500404804945,0.06617181748151779,,
48,5732,,,0.11501353979110718,0.35780346393585205
48,5732,0.0030814330093562603,0.05779789760708809,,
49,5849,,,0.08772836625576019,0.31394192576408386
49,5849,0.0027518379501998425,0.054097481071949005,,
50,5966,,,0.091263547539711,0.3195761442184448
50,5966,0.0016657138476148248,0.04036777466535568,,
51,6083,,,0.08432567864656448,0.3113751709461212
51,6083,0.0008699562749825418,0.027974888682365417,,
52,6200,,,0.1136816069483757,0.35685235261917114
52,6200,0.0004938114434480667,0.019241977483034134,,
53,6317,,,0.09100209176540375,0.31721577048301697
53,6317,0.0004273211816325784,0.017424339428544044,,
54,6434,,,0.10279568284749985,0.3420046269893646
54,6434,0.00033733612508513033,0.014223454520106316,,
55,6551,,,0.09150753915309906,0.3208085000514984
55,6551,0.0002866889990400523,0.012055699713528156,,
56,6668,,,0.10035362094640732,0.3393242359161377
56,6668,0.00024551828391849995,0.010279441252350807,,
57,6785,,,0.10529331862926483,0.34155672788619995
57,6785,0.00023958156816661358,0.010714400559663773,,
58,6902,,,0.10183262825012207,0.3411644399166107
58,6902,0.00021025135356467217,0.009293889626860619,,
59,7019,,,0.0975385457277298,0.32880744338035583
59,7019,0.00019565806724131107,0.009060445241630077,,
60,7136,,,0.10403269529342651,0.34858372807502747
60,7136,0.0001807184162316844,0.008705426938831806,,
61,7253,,,0.10536747425794601,0.3489622473716736
61,7253,0.00017476115317549556,0.009205635637044907,,
62,7370,,,0.09683182835578918,0.3320624530315399
62,7370,0.00020897859940305352,0.011557621881365776,,
63,7487,,,0.10124597698450089,0.3342210054397583
63,7487,0.00030220195185393095,0.01525137946009636,,
64,7604,,,0.1096193864941597,0.34736937284469604
64,7604,0.0006581491325050592,0.026129303500056267,,
65,7721,,,0.10543576627969742,0.3480663299560547
65,7721,0.0011039022356271744,0.033152636140584946,,
66,7838,,,0.09456142783164978,0.3275311291217804
66,7838,0.0011901697143912315,0.03616360202431679,,
67,7955,,,0.09941992163658142,0.33363714814186096
67,7955,0.00110762775875628,0.03549661487340927,,
68,8072,,,0.09545961767435074,0.33584776520729065
68,8072,0.0012232393492013216,0.03775938227772713,,
