Num,Scenario,WellConfig,filename
133,72,OPT_0001_10,v2.4_0133.h5
134,85,OPT_0001_09,v2.4_0134.h5
135,73,OPT_0001_10,v2.4_0135.h5
136,75,OPT_0001_09,v2.4_0136.h5
137,79,OPT_0001_09,v2.4_0137.h5
138,73,OPT_0001_09,v2.4_0138.h5
139,77,OPT_0001_09,v2.4_0139.h5
140,76,OPT_0001_10,v2.4_0140.h5
141,75,OPT_0001_10,v2.4_0141.h5
143,78,OPT_0001_10,v2.4_0143.h5
144,82,OPT_0001_10,v2.4_0144.h5
145,77,OPT_0001_10,v2.4_0145.h5
146,84,OPT_0001_10,v2.4_0146.h5
147,83,OPT_0001_10,v2.4_0147.h5
148,81,OPT_0001_10,v2.4_0148.h5
149,79,OPT_0001_10,v2.4_0149.h5
150,85,OPT_0001_10,v2.4_0150.h5
151,71,OPT_0002_01,v2.4_0151.h5
152,73,OPT_0002_01,v2.4_0152.h5
153,72,OPT_0002_01,v2.4_0153.h5
154,76,OPT_0002_02,v2.4_0154.h5
155,71,OPT_0002_02,v2.4_0155.h5
156,82,OPT_0002_02,v2.4_0156.h5
157,75,OPT_0002_02,v2.4_0157.h5
158,75,OPT_0002_03,v2.4_0158.h5
159,81,OPT_0002_02,v2.4_0159.h5
160,79,OPT_0002_03,v2.4_0160.h5
161,75,OPT_0002_01,v2.4_0161.h5
162,72,OPT_0002_02,v2.4_0162.h5
163,77,OPT_0002_02,v2.4_0163.h5
164,80,OPT_0002_02,v2.4_0164.h5
165,82,OPT_0002_01,v2.4_0165.h5
166,73,OPT_0002_02,v2.4_0166.h5
167,76,OPT_0002_01,v2.4_0167.h5
168,79,OPT_0002_02,v2.4_0168.h5
169,76,OPT_0002_03,v2.4_0169.h5
170,83,OPT_0002_02,v2.4_0170.h5
171,79,OPT_0002_01,v2.4_0171.h5
172,74,OPT_0002_02,v2.4_0172.h5
173,80,OPT_0002_01,v2.4_0173.h5
174,78,OPT_0002_02,v2.4_0174.h5
175,80,OPT_0002_03,v2.4_0175.h5
176,85,OPT_0002_01,v2.4_0176.h5
177,81,OPT_0002_01,v2.4_0177.h5
178,78,OPT_0002_01,v2.4_0178.h5
179,83,OPT_0002_01,v2.4_0179.h5
180,82,OPT_0002_03,v2.4_0180.h5
181,71,OPT_0002_03,v2.4_0181.h5
182,74,OPT_0002_01,v2.4_0182.h5
183,77,OPT_0002_01,v2.4_0183.h5
184,81,OPT_0002_03,v2.4_0184.h5
185,74,OPT_0002_03,v2.4_0185.h5
186,84,OPT_0002_01,v2.4_0186.h5
187,71,OPT_0002_04,v2.4_0187.h5
188,72,OPT_0002_04,v2.4_0188.h5
189,73,OPT_0002_03,v2.4_0189.h5
190,72,OPT_0002_03,v2.4_0190.h5
191,76,OPT_0002_04,v2.4_0191.h5
192,85,OPT_0002_02,v2.4_0192.h5
193,83,OPT_0002_03,v2.4_0193.h5
194,84,OPT_0002_03,v2.4_0194.h5
195,85,OPT_0002_03,v2.4_0195.h5
196,75,OPT_0002_04,v2.4_0196.h5
197,84,OPT_0002_02,v2.4_0197.h5
198,78,OPT_0002_03,v2.4_0198.h5
199,74,OPT_0002_04,v2.4_0199.h5
200,73,OPT_0002_04,v2.4_0200.h5
201,77,OPT_0002_03,v2.4_0201.h5
202,84,OPT_0002_04,v2.4_0202.h5
203,81,OPT_0002_04,v2.4_0203.h5
204,82,OPT_0002_04,v2.4_0204.h5
205,83,OPT_0002_04,v2.4_0205.h5
206,80,OPT_0002_04,v2.4_0206.h5
207,76,OPT_0002_05,v2.4_0207.h5
208,78,OPT_0002_04,v2.4_0208.h5
209,77,OPT_0002_04,v2.4_0209.h5
210,75,OPT_0002_05,v2.4_0210.h5
211,79,OPT_0002_04,v2.4_0211.h5
212,71,OPT_0002_05,v2.4_0212.h5
213,77,OPT_0002_05,v2.4_0213.h5
214,72,OPT_0002_05,v2.4_0214.h5
215,85,OPT_0002_04,v2.4_0215.h5
216,82,OPT_0002_05,v2.4_0216.h5
217,74,OPT_0002_05,v2.4_0217.h5
218,81,OPT_0002_05,v2.4_0218.h5
219,84,OPT_0002_05,v2.4_0219.h5
220,73,OPT_0002_05,v2.4_0220.h5
221,83,OPT_0002_05,v2.4_0221.h5
222,85,OPT_0002_05,v2.4_0222.h5
223,80,OPT_0002_05,v2.4_0223.h5
224,78,OPT_0002_05,v2.4_0224.h5
225,79,OPT_0002_05,v2.4_0225.h5
226,74,OPT_0002_06,v2.4_0226.h5
227,75,OPT_0002_06,v2.4_0227.h5
228,76,OPT_0002_06,v2.4_0228.h5
229,73,OPT_0002_06,v2.4_0229.h5
230,72,OPT_0002_06,v2.4_0230.h5
231,71,OPT_0002_06,v2.4_0231.h5
232,82,OPT_0002_06,v2.4_0232.h5
233,73,OPT_0002_07,v2.4_0233.h5
234,78,OPT_0002_06,v2.4_0234.h5
235,77,OPT_0002_06,v2.4_0235.h5
236,71,OPT_0002_07,v2.4_0236.h5
237,81,OPT_0002_06,v2.4_0237.h5
238,80,OPT_0002_06,v2.4_0238.h5
239,83,OPT_0002_06,v2.4_0239.h5
240,84,OPT_0002_06,v2.4_0240.h5
241,85,OPT_0002_06,v2.4_0241.h5
242,72,OPT_0002_07,v2.4_0242.h5
243,79,OPT_0002_06,v2.4_0243.h5
244,75,OPT_0002_08,v2.4_0244.h5
245,74,OPT_0002_08,v2.4_0245.h5
246,76,OPT_0002_08,v2.4_0246.h5
247,77,OPT_0002_08,v2.4_0247.h5
248,84,OPT_0002_07,v2.4_0248.h5
249,81,OPT_0002_07,v2.4_0249.h5
250,82,OPT_0002_07,v2.4_0250.h5
251,83,OPT_0002_07,v2.4_0251.h5
252,71,OPT_0002_08,v2.4_0252.h5
253,85,OPT_0002_07,v2.4_0253.h5
254,80,OPT_0002_07,v2.4_0254.h5
255,78,OPT_0002_07,v2.4_0255.h5
256,75,OPT_0002_07,v2.4_0256.h5
257,74,OPT_0002_07,v2.4_0257.h5
