run_id,well_id,well_type,depth_z,final_x,final_y,mean_total_energy
7,6,injector,34.319454,61.42977,75.0,1.8708034e+14
7,7,producer,49.601295,8.531067,34.688847,1.8708034e+14
7,8,injector,32.974384,13.654419,52.54769,1.8708034e+14
7,9,producer,44.033424,10.372609,18.585892,1.8708034e+14
7,10,injector,49.605583,0.0,17.718044,1.8708034e+14
7,11,producer,40.734,53.174038,21.492937,1.8708034e+14
8,0,injector,49.415276,25.108198,11.028154,1.8606583e+14
8,1,producer,30.865246,10.713558,12.233851,1.8606583e+14
8,2,injector,49.883633,58.4578,69.2292,1.8606583e+14
8,3,producer,50.08147,62.286125,53.646957,1.8606583e+14
8,4,injector,49.992878,17.030323,44.24882,1.8606583e+14
8,5,producer,49.642967,27.370548,52.621155,1.8606583e+14
8,6,injector,17.719292,30.413853,46.647327,1.8606583e+14
8,7,producer,49.623447,57.696785,64.9942,1.8606583e+14
8,8,injector,49.51825,57.911194,13.000335,1.8606583e+14
8,9,producer,16.423069,43.78614,49.337673,1.8606583e+14
8,10,injector,51.57702,50.05408,62.007294,1.8606583e+14
8,11,producer,49.695053,12.525427,24.18754,1.8606583e+14
9,0,injector,49.64342,41.67131,59.5034,1.8840802e+14
9,1,producer,47.09253,19.662918,43.245876,1.8840802e+14
9,2,injector,47.050125,13.370227,20.155336,1.8840802e+14
9,3,producer,36.260113,13.232037,64.945885,1.8840802e+14
9,4,injector,49.085506,58.470837,14.781423,1.8840802e+14
9,5,producer,49.676094,52.855877,34.34988,1.8840802e+14
9,6,injector,49.938877,33.04203,13.202191,1.8840802e+14
9,7,producer,11.625422,57.739685,64.62577,1.8840802e+14
9,8,injector,49.79075,51.248093,61.173683,1.8840802e+14
9,9,producer,56.73587,28.241829,55.239983,1.8840802e+14
9,10,injector,46.204254,54.85481,14.375999,1.8840802e+14
9,11,producer,47.174828,10.526191,28.26657,1.8840802e+14
10,0,injector,44.03384,57.973648,34.51007,1.8871759e+14
10,1,producer,49.693283,11.138353,63.590775,1.8871759e+14
10,2,injector,46.92813,26.48578,52.223564,1.8871759e+14
10,3,producer,49.707397,35.214886,18.443316,1.8871759e+14
10,4,injector,26.381374,11.264354,64.28094,1.8871759e+14
10,5,producer,44.23001,14.175071,11.147583,1.8871759e+14
10,6,injector,49.574436,40.223236,66.47537,1.8871759e+14
10,7,producer,40.227154,11.458303,41.336086,1.8871759e+14
10,8,injector,49.896183,46.914375,34.332085,1.8871759e+14
10,9,producer,49.604954,52.58544,69.4748,1.8871759e+14
10,10,injector,50.785328,24.980978,67.03133,1.8871759e+14
10,11,producer,44.16181,23.065145,20.804947,1.8871759e+14
11,0,injector,32.76336,9.956811,68.3283,1.870715e+14
11,1,producer,51.607758,2.4061725,20.339922,1.870715e+14
11,2,injector,43.968334,30.226236,29.252428,1.870715e+14
11,3,producer,44.05159,13.669403,0.0,1.870715e+14
11,4,injector,49.879337,52.92994,37.365173,1.870715e+14
11,5,producer,49.665173,21.350948,66.85033,1.870715e+14
11,6,injector,31.705534,60.768215,58.12284,1.870715e+14
11,7,producer,49.975666,26.279226,12.784099,1.870715e+14
11,8,injector,44.092155,16.508406,51.922256,1.870715e+14
11,9,producer,51.432278,62.19943,51.322834,1.870715e+14
11,10,injector,49.62762,46.861977,61.71633,1.870715e+14
11,11,producer,37.280228,9.182127,15.960514,1.870715e+14
12,0,injector,33.09834,11.022404,44.188232,1.8561646e+14
12,1,producer,49.61773,48.193485,46.849476,1.8561646e+14
12,2,injector,51.402256,42.794987,72.86449,1.8561646e+14
12,3,producer,51.579178,41.008945,9.026266,1.8561646e+14
12,4,injector,52.492115,7.923581,29.771456,1.8561646e+14
12,5,producer,53.78209,68.80143,75.0,1.8561646e+14
12,6,injector,54.627045,55.723015,18.4733,1.8561646e+14
12,7,producer,49.948494,58.011196,64.385864,1.8561646e+14
12,8,injector,49.848595,23.944809,56.339424,1.8561646e+14
12,9,producer,34.60411,48.626842,42.847775,1.8561646e+14
12,10,injector,49.763485,22.739153,9.32343,1.8561646e+14
12,11,producer,49.906586,12.736276,43.42362,1.8561646e+14
13,0,injector,51.41479,40.6842,66.012985,1.8984677e+14
13,1,producer,36.836227,59.979992,11.549095,1.8984677e+14
13,2,injector,49.758396,22.162174,37.1047,1.8984677e+14
13,3,producer,47.34896,11.287124,61.93204,1.8984677e+14
13,4,injector,49.370914,17.894295,70.16901,1.8984677e+14
13,5,producer,37.43238,57.943325,39.87589,1.8984677e+14
13,6,injector,49.679935,11.364439,17.423183,1.8984677e+14
13,7,producer,45.35889,12.307884,54.676575,1.8984677e+14
13,8,injector,49.68456,57.533146,61.599464,1.8984677e+14
13,9,producer,49.76411,57.941086,13.909107,1.8984677e+14
13,10,injector,55.18724,14.647938,14.841486,1.8984677e+14
13,11,producer,49.622276,41.09031,56.16591,1.8984677e+14
14,0,injector,55.138474,4.3196273,16.490137,1.8290033e+14
14,1,producer,44.750027,24.317844,59.336773,1.8290033e+14
14,2,injector,51.329594,54.77339,12.601975,1.8290033e+14
14,3,producer,53.123886,24.097445,19.197973,1.8290033e+14
14,4,injector,52.468296,69.0,5.457103,1.8290033e+14
14,5,producer,48.621,54.352577,67.745834,1.8290033e+14
14,6,injector,49.689106,11.181192,30.411896,1.8290033e+14
14,7,producer,49.70952,52.282383,32.04258,1.8290033e+14
14,8,injector,49.659946,58.03133,27.75553,1.8290033e+14
14,9,producer,28.977953,38.600178,62.887592,1.8290033e+14
14,10,injector,48.412582,12.920395,31.85103,1.8290033e+14
14,11,producer,51.549213,22.382002,0.0,1.8290033e+14
15,0,injector,42.507828,66.47367,8.154454,1.8531475e+14
15,1,producer,53.04914,16.28048,59.511253,1.8531475e+14
15,2,injector,44.406372,22.940304,16.816954,1.8531475e+14
15,3,producer,32.309814,28.561943,8.515796,1.8531475e+14
15,4,injector,56.573116,9.45314,12.260494,1.8531475e+14
15,5,producer,53.746025,7.36298,75.0,1.8531475e+14
15,6,injector,44.140984,19.320362,41.38653,1.8531475e+14
15,7,producer,47.609238,10.08872,44.54104,1.8531475e+14
15,8,injector,49.641136,47.268463,36.98958,1.8531475e+14
15,9,producer,48.81988,57.900665,14.987161,1.8531475e+14
15,10,injector,49.44186,52.581413,65.274704,1.8531475e+14
15,11,producer,16.630045,57.958336,51.920326,1.8531475e+14
16,0,injector,49.231884,9.821157,38.9085,1.848158e+14
16,1,producer,47.75403,23.865559,12.6626215,1.848158e+14
16,2,injector,57.28525,9.678193,21.228582,1.848158e+14
16,3,producer,49.701134,34.97717,56.573036,1.848158e+14
16,4,injector,49.725178,58.029015,37.3841,1.848158e+14
16,5,producer,49.512955,57.887066,63.04834,1.848158e+14
16,6,injector,49.696934,10.820292,65.1039,1.848158e+14
16,7,producer,24.359005,22.745226,19.815542,1.848158e+14
16,8,injector,47.347595,27.194098,10.919126,1.848158e+14
16,9,producer,49.848118,12.18666,51.79417,1.848158e+14
16,10,injector,53.937973,57.91821,18.539154,1.848158e+14
16,11,producer,52.215298,31.58356,48.17441,1.848158e+14
17,0,injector,47.327408,12.696485,9.844934,1.8565285e+14
17,1,producer,49.964745,53.383747,49.411247,1.8565285e+14
17,2,injector,15.511923,42.556076,64.547485,1.8565285e+14
17,3,producer,49.736347,8.281174,48.19742,1.8565285e+14
17,4,injector,40.44886,11.579381,11.254692,1.8565285e+14
17,5,producer,49.792465,34.83366,51.10601,1.8565285e+14
17,6,injector,48.621075,57.761147,17.239862,1.8565285e+14
17,7,producer,49.63251,14.518019,64.90533,1.8565285e+14
17,8,injector,57.19954,34.354374,12.451264,1.8565285e+14
17,9,producer,51.47273,54.18707,74.61701,1.8565285e+14
17,10,injector,49.611675,57.824768,45.595234,1.8565285e+14
17,11,producer,49.649746,54.80493,40.423073,1.8565285e+14
18,0,injector,49.784794,11.81873,54.12183,1.8909132e+14
18,1,producer,49.630585,16.602177,54.130272,1.8909132e+14
18,2,injector,14.185512,50.986496,28.748257,1.8909132e+14
18,3,producer,46.58938,61.745872,42.891094,1.8909132e+14
18,4,injector,51.857986,50.162327,66.78788,1.8909132e+14
18,5,producer,49.808304,50.305733,0.0,1.8909132e+14
18,6,injector,44.81287,24.459623,55.66028,1.8909132e+14
18,7,producer,29.51494,57.84612,49.386814,1.8909132e+14
18,8,injector,49.931522,22.872536,23.307686,1.8909132e+14
18,9,producer,49.968163,8.133035,62.122288,1.8909132e+14
18,10,injector,53.486332,58.770386,4.6855083,1.8909132e+14
18,11,producer,49.61741,57.76039,41.84017,1.8909132e+14
19,0,injector,43.826504,12.295662,55.50531,1.890084e+14
19,1,producer,49.652435,11.724335,74.97651,1.890084e+14
19,2,injector,49.77231,60.156284,48.514053,1.890084e+14
19,3,producer,44.061592,15.506027,20.404816,1.890084e+14
19,4,injector,49.793728,28.732191,44.557148,1.890084e+14
19,5,producer,43.99731,60.50251,10.086342,1.890084e+14
19,6,injector,49.808544,14.243194,16.75124,1.890084e+14
19,7,producer,44.018627,18.19289,14.674207,1.890084e+14
19,8,injector,33.349007,55.135197,51.20008,1.890084e+14
19,9,producer,49.601967,57.780025,66.3159,1.890084e+14
19,10,injector,49.535694,11.207605,59.091743,1.890084e+14
19,11,producer,44.01614,19.012497,22.52965,1.890084e+14
20,0,injector,44.417362,36.386063,25.262259,1.8869536e+14
