run_id,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
164,73,v2.5_1428,run0164_iter0050,v2.5_cmaes_20260420_73_run0164,183372152307712.0,203453741662208.0,20081589354496.0,396516672.0,445621120.0,49104448.0
179,74,v2.5_0111,run0179_iter0050,v2.5_cmaes_20260420_74_run0179,180325292441600.0,188533276934144.0,8207984492544.0,394877984.0,416279328.0,21401344.0
179,76,v2.5_1203,run0179_iter0050,v2.5_cmaes_20260420_76_run0179,186226292293632.0,196248111939584.0,10021819645952.0,407010720.0,423108480.0,16097760.0
179,73,v2.5_1428,run0179_iter0050,v2.5_cmaes_20260420_73_run0179,182793489350656.0,199122384584704.0,16328895234048.0,393174144.0,431994176.0,38820032.0
194,74,v2.5_0111,run0194_iter0050,v2.5_cmaes_20260420_74_run0194,185314433826816.0,191088883138560.0,5774449311744.0,406054720.0,425019264.0,18964544.0
194,76,v2.5_1203,run0194_iter0050,v2.5_cmaes_20260420_76_run0194,186797724270592.0,191729303027712.0,4931578757120.0,416357952.0,410787360.0,5570592.0
194,73,v2.5_1428,run0194_iter0050,v2.5_cmaes_20260420_73_run0194,186786349318144.0,186971234238464.0,184884920320.0,408814944.0,405505024.0,3309920.0
209,74,v2.5_0111,run0209_iter0050,v2.5_cmaes_20260420_74_run0209,187299983785984.0,197232414425088.0,9932430639104.0,407574080.0,439832288.0,32258208.0
209,76,v2.5_1203,run0209_iter0050,v2.5_cmaes_20260420_76_run0209,186343179157504.0,190557062168576.0,4213883011072.0,414026336.0,419885280.0,5858944.0
209,73,v2.5_1428,run0209_iter0050,v2.5_cmaes_20260420_73_run0209,186319640723456.0,196470544269312.0,10150903545856.0,407771488.0,436397632.0,28626144.0
224,74,v2.5_0111,run0224_iter0050,v2.5_cmaes_20260420_74_run0224,187554997469184.0,167679516213248.0,19875481255936.0,410585984.0,382328768.0,28257216.0
224,76,v2.5_1203,run0224_iter0050,v2.5_cmaes_20260420_76_run0224,190366573658112.0,167952900947968.0,22413672710144.0,417616672.0,380328992.0,37287680.0
224,73,v2.5_1428,run0224_iter0050,v2.5_cmaes_20260420_73_run0224,189365561065472.0,167238325764096.0,22127235301376.0,413069504.0,379181696.0,33887808.0
239,74,v2.5_0111,run0239_iter0050,v2.5_cmaes_20260420_74_run0239,183299909615616.0,179339832328192.0,3960077287424.0,396274368.0,412505440.0,16231072.0
239,76,v2.5_1203,run0239_iter0050,v2.5_cmaes_20260420_76_run0239,187179238162432.0,191176594423808.0,3997356261376.0,408173120.0,426085952.0,17912832.0
239,73,v2.5_1428,run0239_iter0050,v2.5_cmaes_20260420_73_run0239,185933462765568.0,189532695691264.0,3599232925696.0,400026816.0,430484352.0,30457536.0
254,74,v2.5_0111,run0254_iter0050,v2.5_cmaes_20260420_74_run0254,186039125671936.0,190883563569152.0,4844437897216.0,407383168.0,405604608.0,1778560.0
254,76,v2.5_1203,run0254_iter0050,v2.5_cmaes_20260420_76_run0254,188202195353600.0,193808771842048.0,5606576488448.0,415768000.0,419074688.0,3306688.0
254,73,v2.5_1428,run0254_iter0050,v2.5_cmaes_20260420_73_run0254,186954574462976.0,182786694578176.0,4167879884800.0,407798272.0,388689664.0,19108608.0
269,74,v2.5_0111,run0269_iter0050,v2.5_cmaes_20260420_74_run0269,183505464066048.0,188524519227392.0,5019055161344.0,402133216.0,419866592.0,17733376.0
269,76,v2.5_1203,run0269_iter0050,v2.5_cmaes_20260420_76_run0269,188638906286080.0,187718105563136.0,920800722944.0,416991552.0,412340896.0,4650656.0
269,73,v2.5_1428,run0269_iter0050,v2.5_cmaes_20260420_73_run0269,185338374914048.0,190216820228096.0,4878445314048.0,403522080.0,421481280.0,17959200.0
284,74,v2.5_0111,run0284_iter0050,v2.5_cmaes_20260420_74_run0284,187277217103872.0,190913208909824.0,3635991805952.0,407748992.0,424941472.0,17192480.0
284,76,v2.5_1203,run0284_iter0050,v2.5_cmaes_20260420_76_run0284,187422776229888.0,193827495215104.0,6404718985216.0,411672096.0,420658368.0,8986272.0
284,73,v2.5_1428,run0284_iter0050,v2.5_cmaes_20260420_73_run0284,186797271285760.0,189338600079360.0,2541328793600.0,406582080.0,413173568.0,6591488.0
299,74,v2.5_0111,run0299_iter0050,v2.5_cmaes_20260420_74_run0299,189337241124864.0,177851978481664.0,11485262643200.0,418599072.0,403281408.0,15317664.0
299,76,v2.5_1203,run0299_iter0050,v2.5_cmaes_20260420_76_run0299,191878939017216.0,193316226334720.0,1437287317504.0,425518912.0,424513920.0,1004992.0
299,73,v2.5_1428,run0299_iter0050,v2.5_cmaes_20260420_73_run0299,188041234743296.0,187842626060288.0,198608683008.0,414704640.0,415166368.0,461728.0
314,74,v2.5_0111,run0314_iter0050,v2.5_cmaes_20260420_74_run0314,182221906378752.0,183536518692864.0,1314612314112.0,398115648.0,418299712.0,20184064.0
314,76,v2.5_1203,run0314_iter0050,v2.5_cmaes_20260420_76_run0314,189080415502336.0,191314989678592.0,2234574176256.0,417030720.0,431565472.0,14534752.0
314,73,v2.5_1428,run0314_iter0050,v2.5_cmaes_20260420_73_run0314,185943998857216.0,182297571622912.0,3646427234304.0,402965600.0,407829952.0,4864352.0
329,74,v2.5_0111,run0329_iter0050,v2.5_cmaes_20260420_74_run0329,182887794081792.0,188761447071744.0,5873652989952.0,398564352.0,434701216.0,36136864.0
329,76,v2.5_1203,run0329_iter0050,v2.5_cmaes_20260420_76_run0329,184159641272320.0,204332498681856.0,20172857409536.0,398864576.0,459954944.0,61090368.0
329,73,v2.5_1428,run0329_iter0050,v2.5_cmaes_20260420_73_run0329,182836288028672.0,187871633866752.0,5035345838080.0,396947008.0,427048768.0,30101760.0
344,74,v2.5_0111,run0344_iter0050,v2.5_cmaes_20260420_74_run0344,188239256223744.0,189762107342848.0,1522851119104.0,411338944.0,436322976.0,24984032.0
344,76,v2.5_1203,run0344_iter0050,v2.5_cmaes_20260420_76_run0344,190370533081088.0,196200078770176.0,5829545689088.0,417735456.0,445965120.0,28229664.0
344,73,v2.5_1428,run0344_iter0050,v2.5_cmaes_20260420_73_run0344,189361551310848.0,195062063431680.0,5700512120832.0,411232192.0,447497952.0,36265760.0
