case_id,actual,pred_withheld_model,pred_baseline_model,err_pct_withheld,err_pct_baseline
v2.5_2357,183300631035904.0,178199904387072.0,182642058199040.0,2.7827109050338703,0.35928563537514613
v2.5_2359,181502818123776.0,179715188981760.0,181754811908096.0,0.9849043450096321,0.1388373948817437
v2.5_2368,187659116871680.0,163768025743360.0,187854923759616.0,12.731111350511451,0.10434179335389893
v2.5_2373,192542578573312.0,175276944261120.0,192765212229632.0,8.96717725509113,0.11562827192284153
v2.5_2386,182900225998848.0,170201383436288.0,182283948523520.0,6.943043669415687,0.3369473558397252
v2.5_2388,181624234835968.0,174606694481920.0,181276761915392.0,3.8637687092726454,0.19131418276300874
v2.5_2389,182081564966912.0,176977902305280.0,180832299909120.0,2.8029540840993112,0.686101889567468
v2.5_2391,182007225122816.0,177656775573504.0,181861330452480.0,2.3902620054650994,0.08015872459873626
v2.5_3043,180725345157120.0,178544575512576.0,180674594078720.0,1.2066761541653555,0.0280818821266479
v2.5_3045,180239342764032.0,176629238202368.0,180722409144320.0,2.0029503582857164,0.26801383808884993
v2.5_3046,187465138700288.0,177379481747456.0,187191837851648.0,5.380017331625886,0.14578755844143523
v2.5_3048,183837468393472.0,172513535459328.0,176682908516352.0,6.159752434094174,3.8917854666095124
v2.5_3049,183313281056768.0,176273879990272.0,184046227292160.0,3.8400933232524794,0.3998325877790726
v2.5_3050,186282143645696.0,176282235043840.0,186540529549312.0,5.368151990389148,0.13870674803240593
v2.5_3051,186004614938624.0,178337779548160.0,181736440856576.0,4.121852241673589,2.2946603144531497
v2.5_3052,187947584323584.0,179226737115136.0,183924726693888.0,4.640042190397917,2.1404146502728976
v2.5_3053,182574831894528.0,177140020543488.0,182932153040896.0,2.9767582391529444,0.1957121595896753
v2.5_3056,186679142907904.0,167086491959296.0,184524528943104.0,10.495361529634732,1.1541803391838765
v2.5_3162,180906790748160.0,178089342533632.0,181045689319424.0,1.5574032367033497,0.07677908092314811
v2.5_3163,180716671336448.0,174538075668480.0,180404766113792.0,3.4189406114420082,0.17259349696371543
v2.5_3164,182488194351104.0,174983091322880.0,182175181832192.0,4.112651262132781,0.17152480467299136
v2.5_3167,181639233667072.0,171039774474240.0,177682830589952.0,5.835445888447115,2.178165475181272
v2.5_3177,182705257971712.0,176869471158272.0,182258816253952.0,3.194098997601671,0.24435077715668257
v2.5_3183,180240366174208.0,177310544166912.0,175550798757888.0,1.6255082418464655,2.6018408172714125
v2.5_3185,182672122970112.0,176421251055616.0,182845263839232.0,3.421907958839861,0.09478231615468143
v2.5_3196,184799977275392.0,171395468230656.0,185139866894336.0,7.25352310231098,0.1839229765907876
v2.5_3198,179976041136128.0,161713974411264.0,180155607678976.0,10.146943231766704,0.09977247066579363
v2.5_3199,184596754857984.0,166054928056320.0,183614297866240.0,10.044503120289844,0.53221791060186
v2.5_3200,183812470341632.0,173036179292160.0,182895125725184.0,5.862655036104621,0.4990654957974465
v2.5_3201,184285101293568.0,169713317445632.0,183609885458432.0,7.907195831703727,0.3663974083615009
v2.5_3202,183626998218752.0,172273889705984.0,183499843698688.0,6.182701140299216,0.06924609196765434
v2.5_3203,183354871775232.0,172410825342976.0,175415339515904.0,5.968778645637463,4.3301452437330274
v2.5_3204,186181681676288.0,176282469924864.0,184087750901760.0,5.316963335112446,1.1246706741905435
v2.5_3205,182000715563008.0,171458567340032.0,176537080954880.0,5.792366359859913,3.0019852346330524
v2.5_3264,181695252791296.0,177394027593728.0,181076643282944.0,2.3672743957205067,0.3404654215498767
v2.5_3268,181562192691200.0,177544988983296.0,179493478072320.0,2.2125772157513204,1.1393972435651616
v2.5_3271,181042484871168.0,178329223168000.0,181034129817600.0,1.4986878384368119,0.004614968455578566
v2.5_3273,186320194371584.0,175159587635200.0,177970324963328.0,5.990014541379269,4.481462375250427
v2.5_3276,180223052087296.0,177845854797824.0,179961075859456.0,1.3190306467124633,0.145362219097868
v2.5_3304,182059234492416.0,178070166175744.0,182938763264000.0,2.1910826593298522,0.48310033491909377
v2.5_3334,182522252099584.0,178306607480832.0,182141895835648.0,2.309660641515615,0.20838898247238255
v2.5_3342,182967754293248.0,178886830718976.0,184161017004032.0,2.23040589312332,0.6521710425933968
v2.5_3347,188126748213248.0,179228968484864.0,188397465370624.0,4.729672847105223,0.14390147065590747
v2.5_3348,184768016678912.0,177500042821632.0,185470294163456.0,3.933567068542069,0.3800860653088087
v2.5_3350,182767870541824.0,177809146249216.0,180704709181440.0,2.7131269177167887,1.1288424788600209
